title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Snayper. Oruzhie Vozmezdiya,2009,insufficient sample,4.0,Missing,Missing,Missing,Missing
Les Coquillettes,2013,Missing,Missing,insufficient sample,3.0,Missing,Missing
La Vie au ranch,2010,Missing,Missing,Missing,Missing,Missing,Missing
The Antics Roadshow,2011,Missing,Missing,insufficient sample,3.0,Missing,Missing
Intangible Asset Number 82,2008,Missing,Missing,Missing,Missing,Missing,Missing
Jig,2011,Missing,Missing,Missing,Missing,Missing,Missing
Eco-Pirate: The Story of Paul Watson,2011,Missing,Missing,insufficient sample,1.0,Missing,Missing
The Last White Knight,2012,Missing,Missing,Missing,Missing,Missing,Missing
"The Farm: Angola, USA",1998,insufficient sample,1.0,Missing,Missing,Missing,Missing
Le mÃ©tis de Dieu,2013,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Khab-e talkh,2004,Missing,Missing,Missing,Missing,Missing,Missing
Impact,2009,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
Mercenaries,2011,Missing,Missing,insufficient sample,5.0,Missing,Missing
Nanny Cam,2014,Missing,Missing,insufficient sample,3.0,Missing,Missing
The Secret Life of Pets,2016,0.07692307692307693,13.0,0.2692307692307692,26.0,Missing,Missing
EdifÃ­cio Master,2002,insufficient sample,3.0,Missing,Missing,Missing,Missing
A.C.A.B.: All Cops Are Bastards,2012,Missing,Missing,insufficient sample,10.0,Missing,Missing
Frankenstein vs. The Mummy,2015,Missing,Missing,Missing,Missing,Missing,Missing
Alien vs. Ninja,2010,Missing,Missing,insufficient sample,1.0,Missing,Missing
æ”»æ®»æ©Ÿå‹•éšŠ Stand Alone Complex The Laughing Man,2005,Missing,Missing,insufficient sample,6.0,Missing,Missing
Pablo,2012,Missing,Missing,insufficient sample,5.0,Missing,Missing
All the Wilderness,2014,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
Walking the Camino: Six Ways to Santiago,2013,Missing,Missing,Missing,Missing,Missing,Missing
